"Variable","N","Mean","SD","Min","Max"
"Economic inequalities and poverty","733","3.859","1.134","1","5"
"Community or Religious Inequalities","742","4.159","0.94","1","5"
"Government repression and discrimination","727","3.781","1.112","1","5"
"Lack of real democracy in NI","716","3.747","1.146","1","5"
"Extremist Republicans","739","4.026","1.107","1","5"
"Extremist Loyalists","737","3.845","1.199","1","5"
"Illegitimate rule from Westminster","691","3.237","1.296","1","5"
"The partition of Ireland","710","3.675","1.192","1","5"
"Remain part of the UK","813","0.627","0.484","0","1"
"Become an independent state","813","0.069","0.253","0","1"
"Unify with the rest of Ireland","813","0.169","0.375","0","1"
